booking_id;hotel;is_canceled;lead_time;arrival_date_week_number;booking_date;arrival_date;arrival_date_day_of_month;stays_in_weekend_nights;stays_in_week_nights;adults;children;babies;meal;country;market_segment;is_repeated_guest;previous_cancellations;assigned_room_type;booking_changes;deposit_type;agent;customer_type;required_car_parking_spaces;total_of_special_requests;prize_per_nigth
16;NF Hotel;0;120;4;30-09-2021;28-01-2022;28;0;1;1;0;0;BB;China;Online TA;0;0;B;1;No Deposit;28;No Contract (Single);0;2;25.0
17;NF Hotel;1;135;7;07-10-2021;19-02-2022;19;2;0;1;0;0;BB;Malaysia;Direct;0;0;A;0;No Deposit;40;No Contract (Group);0;1;20.0
18;NF Hotel;1;119;5;09-10-2021;05-02-2022;5;2;0;1;0;0;BB;Thailand;Groups;0;0;A;0;No Deposit;0;Group Contract;0;0;18.0
19;NF Hotel;0;138;8;11-10-2021;26-02-2022;26;2;3;1;0;0;BB;Cambodia;Offline TA/TO;1;0;B;0;No Deposit;0;No Contract (Group);0;2;23.75
20;NF Hotel;1;78;52;15-10-2021;01-01-2022;1;1;0;2;0;0;BB;Cambodia;Online TA;0;0;B;0;No Deposit;240;No Contract (Single);0;0;28.75
21;NF Hotel;0;80;1;15-10-2021;03-01-2022;3;0;1;1;0;0;BB;Cambodia;Online TA;0;0;A;0;Refundable;14;No Contract (Group);0;2;20.0
22;NF Hotel;0;98;4;20-10-2021;26-01-2022;26;0;1;4;0;0;BB;Cambodia;Corporate;0;0;B;0;No Deposit;28;No Contract (Single);0;2;22.5
23;NF Hotel;0;102;5;21-10-2021;31-01-2022;31;0;1;2;0;0;BB;Cambodia;Offline TA/TO;0;0;A;0;No Deposit;14;No Contract (Group);0;0;19.0
24;NF Hotel;0;84;2;22-10-2021;14-01-2022;14;2;2;2;0;0;SC;Cambodia;Offline TA/TO;0;0;A;0;No Deposit;14;No Contract (Single);0;0;19.0
25;NF Hotel;0;97;4;22-10-2021;27-01-2022;27;2;4;2;0;0;HB;Other;Offline TA/TO;0;0;A;0;No Deposit;0;No Contract (Single);0;2;19.0
26;NF Hotel;0;79;2;23-10-2021;10-01-2022;10;0;2;3;2;0;SC;Japan;Online TA;0;0;B;0;No Deposit;9;No Contract (Single);0;1;25.0
27;NF Hotel;0;126;8;23-10-2021;26-02-2022;26;2;1;1;0;0;SC;Cambodia;Direct;0;0;A;0;No Deposit;0;Contract (Single);0;1;20.0
28;NF Hotel;0;82;2;24-10-2021;14-01-2022;14;1;1;1;0;0;BB;United States;Online TA;0;0;A;2;No Deposit;9;No Contract (Single);0;0;20.0
29;NF Hotel;0;112;7;29-10-2021;18-02-2022;18;2;1;2;0;0;SC;Vietnam;Offline TA/TO;0;0;A;1;No Deposit;0;No Contract (Single);0;1;19.0
30;NF Hotel;0;76;2;31-10-2021;15-01-2022;15;2;0;2;0;0;FB;Vietnam;Online TA;0;0;B;0;No Deposit;0;No Contract (Single);0;0;28.75
31;NF Hotel;1;65;1;01-11-2021;05-01-2022;5;1;3;2;0;0;BB;Vietnam;Corporate;0;1;B;1;No Deposit;9;No Contract (Group);0;0;22.5
32;NF Hotel;1;68;1;01-11-2021;08-01-2022;8;2;1;3;0;0;SC;United Kingdom;Direct;0;0;B;0;No Deposit;240;No Contract (Group);0;0;28.75
33;NF Hotel;0;108;7;02-11-2021;18-02-2022;18;0;1;2;0;0;BB;Cambodia;Direct;0;0;A;0;No Deposit;28;Contract (Single);0;1;20.0
34;NF Hotel;0;92;5;04-11-2021;04-02-2022;4;2;5;3;0;0;SC;Cambodia;Direct;0;0;B;0;No Deposit;40;Contract (Single);0;0;25.0
35;NF Hotel;1;67;2;05-11-2021;11-01-2022;11;1;4;1;0;0;BB;Cambodia;Offline TA/TO;0;0;A;0;No Deposit;40;Contract (Single);0;0;19.0
36;NF Hotel;0;77;3;05-11-2021;21-01-2022;21;1;1;2;0;0;BB;United States;Offline TA/TO;1;0;A;0;No Deposit;0;No Contract (Single);0;0;19.0
37;NF Hotel;0;77;3;05-11-2021;21-01-2022;21;1;1;2;0;0;BB;United States;Offline TA/TO;1;0;A;0;No Deposit;0;No Contract (Single);0;0;19.0
38;NF Hotel;0;78;3;05-11-2021;22-01-2022;22;1;0;1;0;0;BB;Other;Direct;0;0;B;0;No Deposit;0;No Contract (Single);0;0;28.75
39;NF Hotel;0;62;1;07-11-2021;08-01-2022;8;2;0;2;0;0;BB;Malaysia;Offline TA/TO;0;0;A;0;No Deposit;28;No Contract (Single);0;1;21.85
40;NF Hotel;1;53;52;09-11-2021;01-01-2022;1;2;0;4;0;0;BB;France;Online TA;0;0;B;0;No Deposit;28;No Contract (Single);0;0;28.75
41;NF Hotel;0;72;3;10-11-2021;21-01-2022;21;2;1;2;0;0;HB;Malaysia;Online TA;0;0;A;1;No Deposit;0;No Contract (Group);0;0;20.0
42;NF Hotel;0;87;5;10-11-2021;05-02-2022;5;2;2;2;0;0;BB;Cambodia;Direct;0;0;B;0;Refundable;28;No Contract (Group);0;0;25.0
43;NF Hotel;0;52;1;13-11-2021;04-01-2022;4;0;2;1;0;0;SC;Japan;Groups;0;0;A;0;Non Refund;0;Group Contract;0;2;18.0
44;NF Hotel;0;57;1;13-11-2021;09-01-2022;9;1;1;2;0;0;HB;Cambodia;Direct;0;0;B;0;No Deposit;0;No Contract (Group);0;0;25.0
45;NF Hotel;0;52;1;14-11-2021;05-01-2022;5;0;3;2;0;0;BB;Australia;Online TA;0;0;B;0;No Deposit;40;No Contract (Single);0;2;25.0
46;NF Hotel;0;87;6;14-11-2021;09-02-2022;9;0;2;2;0;0;BB;China;Direct;0;0;A;0;No Deposit;40;No Contract (Group);0;0;20.0
47;NF Hotel;0;57;2;15-11-2021;11-01-2022;11;0;2;2;0;0;BB;South Korea;Direct;0;0;B;0;Refundable;40;No Contract (Group);0;0;25.0
48;NF Hotel;0;67;3;15-11-2021;21-01-2022;21;4;6;2;0;0;BB;Australia;Online TA;0;0;A;1;No Deposit;40;No Contract (Single);0;0;20.0
49;NF Hotel;1;50;1;16-11-2021;05-01-2022;5;0;2;4;0;0;BB;United States;Online TA;1;0;B;0;No Deposit;240;No Contract (Group);0;0;25.0
50;NF Hotel;0;51;1;16-11-2021;06-01-2022;6;2;2;1;0;0;BB;China;Corporate;0;0;A;0;No Deposit;0;No Contract (Single);0;0;18.0
51;NF Hotel;1;48;1;18-11-2021;05-01-2022;5;0;1;2;0;0;BB;Thailand;Online TA;1;0;A;0;No Deposit;240;No Contract (Group);0;0;20.0
52;NF Hotel;0;50;1;18-11-2021;07-01-2022;7;1;1;2;0;0;SC;United Kingdom;Offline TA/TO;0;0;B;0;No Deposit;0;No Contract (Group);0;0;27.31
53;NF Hotel;0;111;10;21-11-2021;12-03-2022;12;2;2;1;0;0;BB;Thailand;Corporate;0;0;B;0;Refundable;0;No Contract (Single);0;0;22.5
54;NF Hotel;0;40;52;22-11-2021;01-01-2022;1;2;3;2;0;0;HB;China;Online TA;0;0;A;0;No Deposit;14;No Contract (Single);0;0;23.0
55;NF Hotel;0;47;2;24-11-2021;10-01-2022;10;0;2;2;0;0;BB;Cambodia;Offline TA/TO;0;0;B;0;No Deposit;0;No Contract (Single);0;2;23.75
56;NF Hotel;0;52;2;24-11-2021;15-01-2022;15;4;6;2;0;0;BB;Germany;Offline TA/TO;0;0;B;0;No Deposit;14;No Contract (Single);0;1;27.31
57;NF Hotel;0;66;4;24-11-2021;29-01-2022;29;1;0;2;0;0;SC;Japan;Corporate;0;0;B;1;No Deposit;0;No Contract (Single);0;0;25.87
58;NF Hotel;0;67;4;24-11-2021;30-01-2022;30;1;2;55;0;0;SC;Japan;Online TA;0;0;A;0;No Deposit;0;No Contract (Group);0;0;20.0
59;NF Hotel;1;39;1;25-11-2021;03-01-2022;3;0;1;2;0;0;BB;France;Online TA;0;0;B;0;No Deposit;40;No Contract (Single);0;0;25.0
60;NF Hotel;0;66;4;25-11-2021;30-01-2022;30;1;0;2;0;0;BB;Cambodia;Online TA;1;0;A;0;Non Refund;0;No Contract (Single);0;0;20.0
61;NF Hotel;0;66;4;25-11-2021;30-01-2022;30;1;0;2;0;0;BB;Cambodia;Online TA;1;0;A;0;Non Refund;0;No Contract (Single);0;0;20.0
62;NF Hotel;0;70;5;26-11-2021;04-02-2022;4;2;2;2;0;0;BB;Cambodia;Online TA;0;0;A;0;No Deposit;14;No Contract (Single);0;0;20.0
63;NF Hotel;0;41;1;27-11-2021;07-01-2022;7;1;1;4;0;0;BB;United States;Corporate;0;0;B;1;Refundable;0;No Contract (Single);0;0;25.87
64;NF Hotel;0;48;2;27-11-2021;14-01-2022;14;0;1;2;0;0;SC;Germany;Online TA;0;1;A;0;No Deposit;0;No Contract (Single);1;0;20.0
65;NF Hotel;1;91;8;27-11-2021;26-02-2022;26;2;0;3;0;0;BB;Cambodia;Offline TA/TO;0;0;B;0;No Deposit;0;No Contract (Single);0;0;23.75
66;NF Hotel;0;36;1;28-11-2021;03-01-2022;3;0;2;2;0;0;BB;Vietnam;Online TA;0;0;A;0;No Deposit;0;No Contract (Single);0;1;20.0
67;NF Hotel;0;39;1;28-11-2021;06-01-2022;6;1;2;1;0;0;BB;Vietnam;Offline TA/TO;0;0;A;0;No Deposit;0;No Contract (Single);0;2;19.0
68;NF Hotel;0;50;3;28-11-2021;17-01-2022;17;0;3;2;0;0;SC;China;Online TA;0;0;B;0;No Deposit;0;No Contract (Single);0;3;25.0
69;NF Hotel;0;45;2;30-11-2021;14-01-2022;14;2;2;2;0;0;HB;Cambodia;Online TA;0;0;A;1;No Deposit;14;No Contract (Single);0;0;20.0
70;NF Hotel;0;53;3;30-11-2021;22-01-2022;22;2;0;2;0;0;BB;Thailand;Direct;1;0;A;0;No Deposit;240;No Contract (Single);0;1;23.0
71;NF Hotel;0;66;5;30-11-2021;04-02-2022;4;1;1;2;0;0;BB;China;Direct;0;0;B;0;No Deposit;14;No Contract (Single);0;2;25.0
72;NF Hotel;0;37;1;01-12-2021;07-01-2022;7;2;1;2;0;0;BB;United States;Online TA;1;0;A;0;No Deposit;240;No Contract (Single);0;3;23.0
73;NF Hotel;1;36;1;03-12-2021;08-01-2022;8;2;0;2;0;0;BB;China;Online TA;0;1;B;0;Refundable;0;No Contract (Single);0;2;28.75
74;NF Hotel;0;64;5;03-12-2021;05-02-2022;5;2;0;3;0;0;SC;Thailand;Online TA;0;0;B;0;No Deposit;28;No Contract (Single);0;1;25.0
75;NF Hotel;0;50;3;04-12-2021;23-01-2022;23;1;0;1;0;0;SC;China;Online TA;0;0;B;0;Refundable;0;No Contract (Single);0;1;25.0
76;NF Hotel;0;27;52;05-12-2021;01-01-2022;1;2;1;2;0;0;BB;Japan;Corporate;0;0;A;0;No Deposit;14;No Contract (Group);0;2;20.7
77;NF Hotel;1;73;7;05-12-2021;16-02-2022;16;0;3;4;0;0;HB;United States;Offline TA/TO;0;0;B;0;Non Refund;14;No Contract (Single);0;2;23.75
78;NF Hotel;1;31;1;06-12-2021;06-01-2022;6;0;1;1;0;0;SC;China;Online TA;0;0;A;0;No Deposit;240;No Contract (Single);0;0;20.0
79;NF Hotel;0;32;1;06-12-2021;07-01-2022;7;1;1;2;0;0;BB;United States;Corporate;0;0;B;0;No Deposit;14;No Contract (Single);0;0;25.87
80;NF Hotel;0;56;5;06-12-2021;31-01-2022;31;0;3;3;0;0;BB;China;Corporate;0;0;B;0;No Deposit;40;No Contract (Single);0;1;22.5
81;NF Hotel;0;26;52;07-12-2021;02-01-2022;2;1;2;3;0;0;BB;South Korea;Online TA;0;0;B;1;No Deposit;0;Contract (Single);0;1;25.0
82;NF Hotel;0;31;1;07-12-2021;07-01-2022;7;2;1;2;0;0;BB;Malaysia;Online TA;0;0;B;0;Non Refund;9;No Contract (Single);0;0;28.75
83;NF Hotel;0;31;1;07-12-2021;07-01-2022;7;0;1;1;0;0;BB;Australia;Direct;0;1;B;0;No Deposit;0;No Contract (Single);0;0;28.75
84;NF Hotel;0;43;3;07-12-2021;19-01-2022;19;2;4;1;0;0;BB;Cambodia;Online TA;0;0;A;0;No Deposit;0;No Contract (Single);0;0;20.0
85;NF Hotel;0;52;4;07-12-2021;28-01-2022;28;4;6;3;0;0;SC;Cambodia;Direct;0;0;A;0;No Deposit;14;No Contract (Single);0;0;20.0
86;NF Hotel;0;32;2;09-12-2021;10-01-2022;10;0;2;1;0;0;BB;Cambodia;Online TA;1;0;A;0;No Deposit;0;No Contract (Group);0;0;20.0
87;NF Hotel;0;36;2;09-12-2021;14-01-2022;14;2;5;3;2;0;BB;South Korea;Direct;0;0;B;0;No Deposit;14;No Contract (Single);0;0;25.0
88;NF Hotel;0;26;1;10-12-2021;05-01-2022;5;0;1;2;0;0;SC;China;Online TA;0;0;B;0;Non Refund;240;No Contract (Group);0;0;25.0
89;NF Hotel;0;48;4;10-12-2021;27-01-2022;27;0;1;2;0;0;BB;Germany;Online TA;0;0;A;0;No Deposit;28;No Contract (Single);0;0;20.0
90;NF Hotel;0;64;6;10-12-2021;12-02-2022;12;2;5;3;0;0;BB;Vietnam;Groups;0;0;B;0;No Deposit;0;Group Contract;0;3;22.5
91;NF Hotel;0;73;8;10-12-2021;21-02-2022;21;0;5;3;0;0;BB;Singapore;Online TA;0;0;B;1;No Deposit;28;No Contract (Group);0;0;25.0
92;NF Hotel;0;104;12;10-12-2021;24-03-2022;24;1;2;3;0;0;BB;China;Direct;0;0;B;0;No Deposit;40;No Contract (Single);0;0;25.0
93;NF Hotel;0;31;2;11-12-2021;11-01-2022;11;0;1;2;0;0;BB;Cambodia;Offline TA/TO;0;0;B;0;No Deposit;14;No Contract (Single);0;1;23.75
94;NF Hotel;0;23;1;12-12-2021;04-01-2022;4;0;1;3;0;0;BB;Cambodia;Online TA;0;0;B;0;No Deposit;240;No Contract (Single);0;0;25.0
95;NF Hotel;0;22;1;13-12-2021;04-01-2022;4;1;4;4;1;0;BB;China;Offline TA/TO;0;0;B;0;No Deposit;240;No Contract (Group);0;1;23.75
96;NF Hotel;1;25;1;14-12-2021;08-01-2022;8;1;0;3;0;0;BB;France;Offline TA/TO;0;0;B;0;No Deposit;0;No Contract (Single);0;1;27.31
97;NF Hotel;1;42;4;14-12-2021;25-01-2022;25;0;1;2;0;0;SC;China;Online TA;0;0;A;0;No Deposit;9;No Contract (Single);0;0;20.0
98;NF Hotel;0;48;5;14-12-2021;31-01-2022;31;0;1;1;0;0;SC;China;Online TA;0;0;A;0;No Deposit;9;No Contract (Group);0;2;20.0
99;NF Hotel;0;19;1;15-12-2021;03-01-2022;3;0;2;2;0;0;BB;Cambodia;Online TA;0;1;B;0;No Deposit;0;No Contract (Single);1;0;25.0
100;NF Hotel;1;26;2;15-12-2021;10-01-2022;10;0;2;3;0;0;BB;Vietnam;Direct;0;0;B;0;No Deposit;0;No Contract (Group);0;1;25.0
101;NF Hotel;1;37;3;15-12-2021;21-01-2022;21;1;1;2;0;0;SC;Other;Direct;0;0;A;0;No Deposit;40;No Contract (Single);0;0;20.0
102;NF Hotel;0;46;4;15-12-2021;30-01-2022;30;1;4;55;0;0;SC;Cambodia;Online TA;0;0;A;0;No Deposit;0;No Contract (Single);0;1;20.0
103;NF Hotel;0;25;2;16-12-2021;10-01-2022;10;0;1;1;0;0;HB;Germany;Groups;0;0;A;0;No Deposit;14;Group Contract;0;0;18.0
104;NF Hotel;0;41;4;16-12-2021;26-01-2022;26;0;1;2;0;0;BB;Australia;Online TA;1;0;B;0;No Deposit;14;No Contract (Single);0;0;25.0
105;NF Hotel;0;47;5;16-12-2021;01-02-2022;1;0;3;2;1;0;BB;China;Corporate;0;0;B;0;No Deposit;14;No Contract (Single);0;0;22.5
106;NF Hotel;0;65;7;16-12-2021;19-02-2022;19;1;0;1;0;0;BB;Cambodia;Online TA;0;0;B;0;No Deposit;9;No Contract (Single);1;1;25.0
107;NF Hotel;0;20;1;17-12-2021;06-01-2022;6;1;2;2;0;0;HB;China;Corporate;0;0;B;0;No Deposit;40;Contract (Single);0;2;22.5
108;NF Hotel;0;20;1;17-12-2021;06-01-2022;6;1;2;2;0;0;HB;China;Corporate;0;0;B;0;No Deposit;40;Contract (Single);0;2;22.5
109;NF Hotel;0;30;2;17-12-2021;16-01-2022;16;1;0;2;0;0;BB;Cambodia;Online TA;0;0;A;0;No Deposit;0;No Contract (Single);0;3;20.0
110;NF Hotel;0;63;7;17-12-2021;18-02-2022;18;1;1;2;0;1;BB;Cambodia;Offline TA/TO;0;0;B;0;No Deposit;0;No Contract (Single);0;0;23.75
111;NF Hotel;0;15;52;18-12-2021;02-01-2022;2;1;1;1;0;0;HB;China;Corporate;0;0;A;0;No Deposit;9;No Contract (Single);0;1;18.0
112;NF Hotel;0;19;1;19-12-2021;07-01-2022;7;0;1;2;0;0;SC;Germany;Direct;0;0;A;0;No Deposit;240;No Contract (Single);0;1;23.0
113;NF Hotel;1;26;2;19-12-2021;14-01-2022;14;1;1;2;0;0;BB;France;Online TA;1;1;B;0;No Deposit;0;No Contract (Single);0;0;25.0
114;NF Hotel;0;47;5;19-12-2021;04-02-2022;4;0;1;3;0;0;BB;South Korea;Complementary;0;0;B;0;No Deposit;9;No Contract (Group);0;0;0.0
115;NF Hotel;0;55;6;19-12-2021;12-02-2022;12;1;0;2;0;0;HB;Other;Online TA;0;0;A;0;No Deposit;0;No Contract (Single);0;0;20.0
116;NF Hotel;1;59;7;19-12-2021;16-02-2022;16;0;1;2;0;0;BB;China;Online TA;0;0;A;0;No Deposit;0;No Contract (Single);0;3;20.0
117;NF Hotel;0;12;52;20-12-2021;01-01-2022;1;2;5;1;0;0;SC;Malaysia;Online TA;0;0;A;2;No Deposit;0;No Contract (Single);0;1;23.0
118;NF Hotel;0;13;52;20-12-2021;02-01-2022;2;1;1;2;0;0;SC;Vietnam;Online TA;0;0;B;0;No Deposit;14;No Contract (Single);0;1;25.0
119;NF Hotel;0;13;52;20-12-2021;02-01-2022;2;1;1;2;0;0;SC;Vietnam;Online TA;0;0;B;0;No Deposit;14;No Contract (Single);0;1;25.0
120;NF Hotel;1;43;5;20-12-2021;01-02-2022;1;0;1;2;0;0;BB;United Kingdom;Offline TA/TO;0;0;A;0;No Deposit;9;No Contract (Single);0;0;19.0
121;NF Hotel;0;75;9;20-12-2021;05-03-2022;5;2;3;1;0;0;BB;Australia;Offline TA/TO;0;0;A;0;No Deposit;9;No Contract (Single);0;1;19.0
122;NF Hotel;1;12;52;21-12-2021;02-01-2022;2;1;0;2;1;0;BB;Singapore;Online TA;0;0;B;0;No Deposit;40;No Contract (Single);0;2;25.0
123;NF Hotel;1;16;1;21-12-2021;06-01-2022;6;0;2;2;0;0;BB;Cambodia;Online TA;0;0;A;0;No Deposit;240;No Contract (Single);0;0;20.0
124;NF Hotel;0;17;1;21-12-2021;07-01-2022;7;1;1;2;0;0;SC;Cambodia;Direct;0;0;A;0;No Deposit;9;No Contract (Single);0;2;23.0
125;NF Hotel;0;18;1;21-12-2021;08-01-2022;8;2;0;2;0;0;BB;Vietnam;Complementary;0;0;B;0;No Deposit;28;No Contract (Single);0;2;0.0
126;NF Hotel;0;22;2;21-12-2021;12-01-2022;12;2;4;4;1;0;SC;China;Groups;0;0;B;0;No Deposit;28;Group Contract;0;0;22.5
127;NF Hotel;0;34;4;21-12-2021;24-01-2022;24;0;1;2;0;0;BB;Singapore;Direct;0;0;B;0;No Deposit;240;No Contract (Single);1;0;25.0
128;NF Hotel;1;11;52;22-12-2021;02-01-2022;2;1;0;1;0;0;BB;Japan;Direct;0;0;A;0;No Deposit;0;No Contract (Single);0;1;20.0
129;NF Hotel;1;15;1;22-12-2021;06-01-2022;6;0;1;2;0;0;HB;Singapore;Offline TA/TO;0;0;A;0;No Deposit;240;No Contract (Single);0;2;19.0
130;NF Hotel;1;24;2;22-12-2021;15-01-2022;15;1;0;2;0;0;BB;Cambodia;Corporate;0;0;A;0;No Deposit;0;No Contract (Single);0;1;20.7
131;NF Hotel;1;38;4;22-12-2021;29-01-2022;29;2;1;2;0;0;SC;China;Online TA;0;0;A;0;No Deposit;240;No Contract (Single);0;3;23.0
132;NF Hotel;0;70;9;22-12-2021;02-03-2022;2;2;5;2;0;0;SC;Australia;Online TA;0;0;B;0;No Deposit;14;No Contract (Group);0;3;25.0
133;NF Hotel;0;11;1;23-12-2021;03-01-2022;3;0;1;1;0;0;SC;United Kingdom;Online TA;0;0;A;0;No Deposit;9;No Contract (Single);0;2;20.0
134;NF Hotel;0;19;2;23-12-2021;11-01-2022;11;0;4;1;0;0;BB;Vietnam;Online TA;0;1;A;0;Refundable;0;No Contract (Single);0;0;20.0
135;NF Hotel;0;21;2;23-12-2021;13-01-2022;13;0;1;1;0;0;BB;United Kingdom;Offline TA/TO;0;0;A;0;No Deposit;0;No Contract (Single);0;0;19.0
136;NF Hotel;0;22;2;23-12-2021;14-01-2022;14;1;1;2;2;0;HB;Germany;Direct;0;0;B;0;No Deposit;0;No Contract (Single);0;1;25.0
137;NF Hotel;1;22;2;23-12-2021;14-01-2022;14;0;1;1;0;0;BB;Cambodia;Direct;1;0;B;0;No Deposit;40;No Contract (Single);0;3;25.0
138;NF Hotel;0;30;3;23-12-2021;22-01-2022;22;1;0;3;0;0;FB;Japan;Direct;0;1;A;0;No Deposit;0;No Contract (Group);0;0;23.0
139;NF Hotel;1;36;4;23-12-2021;28-01-2022;28;2;5;2;0;0;BB;United Kingdom;Groups;0;0;A;0;No Deposit;0;Group Contract;0;0;18.0
140;NF Hotel;0;36;4;23-12-2021;28-01-2022;28;1;1;2;0;0;HB;Cambodia;Online TA;0;0;B;0;No Deposit;0;Contract (Single);0;0;25.0
141;NF Hotel;0;114;15;23-12-2021;16-04-2022;16;2;0;4;0;0;SC;Other;Offline TA/TO;0;0;B;0;No Deposit;40;No Contract (Single);0;1;23.75
142;NF Hotel;1;10;1;24-12-2021;03-01-2022;3;0;1;3;0;0;SC;Vietnam;Online TA;0;0;B;0;No Deposit;240;No Contract (Single);0;0;25.0
143;NF Hotel;0;11;1;24-12-2021;04-01-2022;4;0;2;2;0;0;BB;Cambodia;Online TA;0;0;A;0;No Deposit;0;No Contract (Single);0;0;20.0
144;NF Hotel;0;12;1;24-12-2021;05-01-2022;5;0;2;3;0;0;SC;China;Offline TA/TO;0;0;B;0;No Deposit;28;No Contract (Single);0;0;23.75
145;NF Hotel;0;15;1;24-12-2021;08-01-2022;8;2;0;2;2;0;SC;China;Online TA;0;0;B;0;No Deposit;28;No Contract (Group);0;0;28.75
146;NF Hotel;0;28;3;24-12-2021;21-01-2022;21;0;1;2;0;0;BB;China;Online TA;0;0;A;0;No Deposit;40;No Contract (Group);0;2;20.0
147;NF Hotel;0;46;6;24-12-2021;08-02-2022;8;2;4;2;1;0;BB;Vietnam;Online TA;0;0;B;1;No Deposit;0;No Contract (Group);0;1;25.0
148;NF Hotel;0;47;6;24-12-2021;09-02-2022;9;0;2;2;0;0;SC;United States;Corporate;1;0;A;0;No Deposit;0;No Contract (Group);0;2;18.0
149;NF Hotel;0;50;6;24-12-2021;12-02-2022;12;2;1;2;0;0;BB;Malaysia;Groups;0;0;A;0;No Deposit;0;Group Contract;0;1;18.0
150;NF Hotel;0;61;8;24-12-2021;23-02-2022;23;0;1;3;0;0;BB;China;Corporate;0;0;B;1;No Deposit;0;No Contract (Single);0;0;22.5
151;NF Hotel;1;10;1;25-12-2021;04-01-2022;4;0;1;3;0;0;BB;Vietnam;Direct;0;0;B;0;No Deposit;9;No Contract (Group);0;0;25.0
152;NF Hotel;0;27;3;25-12-2021;21-01-2022;21;2;2;2;0;0;BB;Cambodia;Online TA;0;0;B;0;No Deposit;0;No Contract (Single);0;1;25.0
153;NF Hotel;0;61;8;25-12-2021;24-02-2022;24;2;2;2;0;0;SC;United Kingdom;Online TA;0;0;A;0;No Deposit;40;No Contract (Single);0;0;20.0
154;NF Hotel;0;9;1;26-12-2021;04-01-2022;4;0;2;3;0;0;BB;Cambodia;Online TA;0;0;B;0;No Deposit;40;No Contract (Single);0;2;25.0
155;NF Hotel;1;10;1;26-12-2021;05-01-2022;5;0;3;2;2;0;SC;Other;Direct;0;0;B;0;No Deposit;14;No Contract (Single);1;2;25.0
156;NF Hotel;0;15;2;26-12-2021;10-01-2022;10;0;2;1;0;0;BB;Thailand;Groups;0;0;A;0;No Deposit;9;Group Contract;0;0;18.0
157;NF Hotel;1;20;2;26-12-2021;15-01-2022;15;1;0;4;0;0;BB;China;Corporate;0;0;B;0;No Deposit;240;No Contract (Single);0;1;25.87
158;NF Hotel;0;26;3;26-12-2021;21-01-2022;21;0;1;1;0;0;BB;Other;Direct;1;0;A;0;No Deposit;240;No Contract (Single);0;0;20.0
159;NF Hotel;1;29;4;26-12-2021;24-01-2022;24;0;2;2;0;0;BB;France;Online TA;0;0;B;0;No Deposit;9;No Contract (Group);0;0;25.0
